Main Accordion,sub sections,Question
About TAP,(none),What is TAP?
About TAP,(none),What are the benefits of TAP?
About TAP,(none),Where can I purchase a TAP card?
About TAP,(none),Where is my TAP card accepted?
About TAP,(none),What if my card is lost or stolen?
About TAP,(none),"My TAP card was lost, stolen or damaged. Will my Metro fare capping progress transfer to my replacement card?"
About TAP,(none),Can I allow others to use my TAP card?
About TAP,(none),How long will my TAP card last?
About TAP,(none),What are the terms and conditions for using my TAP card?
About TAP,(none),I'm a store owner. How can I sell TAP cards in my store?
About TAP,(none),What methods of payment are available on TAP?
About TAP,(none),Where can I get more information about using the TAP app?
About TAP,(none),How can I delete my personally identifiable information (“PII”) from my TAP account?
Using Your TAP card,(none),How do I use TAP?
Using Your TAP card,(none),Do I need to tap every time I change Metro Rail lines?
Using Your TAP card,(none),Can my card be de-magnetized in my wallet next to my credit cards?
Using Your TAP card,(none),Can I use Stored Value to pay for Metro Bike Share?
Using Your TAP card,(none),How should I care for my TAP card?
Using Your TAP card,(none),What if I don't tap my card on the TAP target?
Using Your TAP card,(none),Can I still get a paper transfer?
Using Your TAP card,(none),How do I transfer from one agency to another?
Managing Fare on Your TAP card,(none),What are the benefits of creating a TAP account?
Managing Fare on Your TAP card,(none),What fare products can be loaded on my TAP card?
Managing Fare on Your TAP card,(none),What fare product can I buy to travel on multiple transit agencies?
Managing Fare on Your TAP card,(none),What is Stored Value?
Managing Fare on Your TAP card,(none),"I loaded fare on my card. But when I tapped it, it appears to be not valid."
Managing Fare on Your TAP card,(none),Is fare the same for all transit agencies?
Managing Fare on Your TAP card,(none),Can I manage my child’s or a family member’s TAP account?
Managing Fare on Your TAP card,(none),"Metro has a new way to earn free rides, called fare capping.  What is fare capping?"
TAP card Features,(none),What is Balance Protection?
TAP card Features,(none),How do I sign up for Balance Protection?
Employer TAP cards,(none),I'm an employer. How do I set up a TAP account for my employees?
Employer TAP cards,(none),Are Metro Bike Share passes available for my employees?
Reduced Fare TAP cards,(none),I'm a senior. Can I get a Reduced Fare TAP card?
Reduced Fare TAP cards,(none),I have a disability. Can I get a Reduced Fare TAP card?
Reduced Fare TAP cards,(none),I'm a college/vocational student. Can I get a Reduced Fare TAP card?
Reduced Fare TAP cards,(none),I'm a K-12 student. Can I get a Reduced Fare TAP card?
Reduced Fare TAP cards,(none),I am a Reduced Fare cardholder. Can I get a Metro Bike Share pass at a discount?
Programs,(none),Can I use a TAP card to pay for Metro Bike Share?
Programs,(none),Can I auto-renew my Metro Bike Share pass?
Programs,(none),How can I pay for program fees?
Programs,(none),What other programs does TAP provide?
iphone,Add a TAP card to your iPhone and Apple Watch,1.How do I add a TAP card to my iPhone?
iphone,Add a TAP card to your iPhone and Apple Watch,2.Can I add my Reduced Fare TAP card to my iPhone?
iphone,Add a TAP card to your iPhone and Apple Watch,3.How do I add a new TAP card to my Apple Watch?
iphone,Add a TAP card to your iPhone and Apple Watch,4.Can I add more than one TAP card to Apple Wallet?
iphone,Add a TAP card to your iPhone and Apple Watch,5.Is there a fee for adding a TAP card to Apple Wallet?
iphone,Add a TAP card to your iPhone and Apple Watch,6.I tried to add a new TAP card in Apple Wallet but it didn’t work. Why?
iphone,Transfer your TAP card to another Apple device,1.How do I transfer a TAP card from my iPhone to my Apple Watch?
iphone,Transfer your TAP card to another Apple device,2.I am upgrading to a new Apple Watch. How do I transfer my TAP card to my new Apple Watch?
